team,team_zh,country_code,group,nationality,player_name,jersey_number,position,date_of_birth,age,height_cm,preferred_foot,market_value_eur_m,club,national_caps,national_goals,goal_rate,fifa_ranking,elo,data_source,source_url,squad_status
South Africa,南非,RSA,Group A,南非,Samukele Kabini,18,Defender,"March 15, 2004",22,,N/A,,Molde,5,0,0.0,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Nkosinathi Sibisi,19,Defender,"September 22, 1995",30,,N/A,,Orlando Pirates,19,0,0.0,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Khuliso Mudau,20,Defender,"April 26, 1995",31,,N/A,,Mamelodi Sundowns,32,1,0.031,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Ime Okon,21,Defender,"February 20, 2004",22,,N/A,,Hannover 96,7,1,0.143,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Ricardo Goss,22,Goalkeeper,"April 2, 1994",32,,N/A,,Siwelele,4,0,0.0,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Jayden Adams,23,Midfielder,"May 5, 2001",25,,N/A,,Mamelodi Sundowns,4,0,0.0,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Olwethu Makhanya,24,Defender,"April 30, 2004",22,,N/A,,Philadelphia Union,0,0,0.0,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Kamogelo Sebelebele,25,Forward,"July 21, 2002",23,,N/A,,Orlando Pirates,2,0,0.0,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Bradley Cross,26,Defender,"January 30, 2001",25,,N/A,,Kaizer Chiefs,0,0,0.0,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Korea,南韓,KOR,Group A,南韓,Kim Seung-gyu,1,Goalkeeper,"September 30, 1990",35,,N/A,,FC Tokyo,87,0,0.0,23.0,1715.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Korea,南韓,KOR,Group A,南韓,Lee Han-beom,2,Defender,"June 17, 2002",23,,N/A,,Midtjylland,8,0,0.0,23.0,1715.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Korea,南韓,KOR,Group A,南韓,Lee Gi-hyuk,3,Midfielder,"July 7, 2000",25,,N/A,,Gangwon FC,3,0,0.0,23.0,1715.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Korea,南韓,KOR,Group A,南韓,Kim Min-jae,4,Defender,"November 15, 1996",29,,N/A,,Bayern Munich,79,4,0.051,23.0,1715.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Korea,南韓,KOR,Group A,南韓,Kim Tae-hyeon,5,Defender,"September 17, 2000",25,,N/A,,Kashima Antlers,7,0,0.0,23.0,1715.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Korea,南韓,KOR,Group A,南韓,Hwang In-beom,6,Midfielder,"September 20, 1996",29,,N/A,,Feyenoord,73,6,0.082,23.0,1715.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Korea,南韓,KOR,Group A,南韓,Son Heung-min,7,Forward,"July 8, 1992",33,,N/A,,Los Angeles FC,144,56,0.389,23.0,1715.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Korea,南韓,KOR,Group A,南韓,Paik Seung-ho,8,Midfielder,"March 17, 1997",29,,N/A,,Birmingham City,27,3,0.111,23.0,1715.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Korea,南韓,KOR,Group A,南韓,Cho Gue-sung,9,Forward,"January 25, 1998",28,,N/A,,Midtjylland,44,12,0.273,23.0,1715.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Korea,南韓,KOR,Group A,南韓,Lee Jae-sung,10,Midfielder,"August 10, 1992",33,,N/A,,Mainz 05,105,15,0.143,23.0,1715.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
